class,description
1,"College footballs 3 1/2-month regular season has come down to this: Three critical games. And a couple of critical votes. Unbeaten USC, Oklahoma and Auburn remain 1-2-3 in Mondays Bowl Championship Series "
1,"Farmington, PA (Sports Network) - Vijay Singh carded a three-under 69 on Sunday to hang on for the title at the 84 Lumber Classic."
1,"On Monday evening, the UCI gave shocking news to Phonak team officials: Tyler Hamilton, the team captain, the Olympic time trial champion, and the winner of Stage 8 of the Vuelta a Espana "
3,"AP - Animal handlers agonized over the issue for more than a year: the wisdom of moving Alaska's only elephant away from the only home she has ever known. Nine elephant experts were consulted from zoos and animal parks in the United States and Canada, and a decision was made: Maggie stays."
3,roundup Plus: Oracle extends deadline on PeopleSoft bid...MLB sells game clips for 99 cents...TiVo hires marketing chief...Jail time for California swappers?
3,"Beyond the tired cliches and sperm-and-egg basics taught in grade school science class, researchers are discovering that men and women are even more different than anyone realized."
2,DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology 
1,"TODAY'S GAMES Division 1 CATHOLIC -- St. John's Prep at BC High, 7; Xaverian at Catholic Memorial, 7."
0,"PARIS, 5 Nov. (IPS) The Islamic Republic of Iran and its three major European interlocutors are engaged in complicated negotiations over Tehrans controversial nuclear programs since this morning in "
1,"AUSTRALIA captain Ricky Ponting says the form of Michael Kasprowicz has left the world champions with a problem to solve ahead of the ICC Champions Trophy, which gets underway in England this week."
3,"update Infineon Technologies will plead guilty to taking part in an international DRAM price-fixing conspiracy, which affected such companies as Dell, Hewlett-Packard and Apple, the US Department of Justice announced Wednesday."
0,"ATHENS, Greece - Little things meant a lot in Athens: a tear from Mia Hamm's eye, or a smile across Jennie Finch's mouth, was as good as gold. A pair of abandoned wrestling shoes, size 13, signaled goodbye for Rulon Gardner..."
0," EL FASHER, Sudan (Reuters) - Aid agencies fearing an  upsurge of fighting in Sudan's troubled Darfur region have  suspended operations and evacuated staff from the volatile  Jebel Marra area in West Darfur state, U.N. officials said on  Friday."
2,"Prince George's County officials Tuesday renewed their push to persuade retailers to locate in the county by releasing a 70-page report that said it is home to more high-income households than Anne Arundel, Howard counties."
2,"British Airways workers plan to strike for 24 hours during the August Bank Holiday weekend unless a pay row is settled, the GMB union said."
0,"Italian Prime Minister Silvio Berlusconi says he is confident a court will not convict him on charges of bribing judges.  quot;I don #39;t think there will be a conviction, quot; he said at the presentation "
1,"Jim Leyland, who led the Marlins to the World Series title in 1997, will interview for the Phillies managerial vacancy. Leyland, a scout for the Cardinals the past four seasons "
3,"After years of trying to make it easier for peripheral devices to work smoothly with computers, Microsoft is building in some difficulty. The upcoming Longhorn OS should allow companies to keep gizmos like iPod from stealing data."
2,"Reuters - Oil prices eased on Monday after rebels\in Nigeria withdrew a threat to target oil operations, but\lingering concerns over stretched supplies ahead of winter kept\prices close to  #36;50."
3,IPOD MAKER Apple has come down hard on a man who made an add-in that allowed file-sharing on iPods. iPodDownload #39;s creator has stopped distributing the iPodDownload software after a visit from Apple lawyers who applied pressure.
0,"Reuters - Myanmar's military ruler, Senior General Than Shwe, arrives in India on Sunday on a landmark visit to strengthen economic and political ties with one of the few friends his junta has in the world."
2, HOUSTON (Reuters) - Opening arguments in the first criminal  case against former Enron Corp. employees are set to begin  after a federal court spent Monday whittling down a panel of  Houston-area residents to find an impartial jury in the city  still stinging from the company's downfall.
0,"Canadian Press - TOKYO (CP) - U.S. and Japanese negotiators struck a deal Saturday to allow  limited imports of U.S. beef into Japan but a Canadian beef industry spokesman called it a rehash of previous agreements and ""election hype."""
1,Boston pitcher Pedro Martinez holds up the championship trophy after the Red Sox defeated the St. Louis Cardinals 3-0 in Game 4 to win the World Series on Wednesday in St.
3,Toss that old cell phone into the dirt and you may return a few weeks later to find a flower. Scientists say they have come up with a phone cover that will grow into a sunflower when thrown away.
0,"Reuters - A strong earthquake of magnitude 6.6\hit Manila in the Philippines overnight, the U.S. Geological\Survey's earthquake center in Golden, Colorado reported on\Friday."
1,"CHARLOTTESVILLE, Va. - Facing the first real test to its dominance this season, Virginia showed Clemson - and the nation - that its numbers haven #39;t just been built against inferior competition."
1,AP - Philadelphia defensive end Jerome McDougle missed practice Friday because of an irregular heartbeat and was doubtful for the Eagles' game this weekend against Cleveland.
3,"Paleontologiosts from the Miguel Crusafont Institute of Paleontology and the Diputacisn de Barcelona in Barcelona, Spain have found a fossil of a new ape species called Pierolapithecus catalaunicus, or its close relative that might have been the last "
2,"WASHINGTON -- The number of poor Americans grew by 1.3 million last year, according to a sobering and politically sensitive Census Bureau report issued Thursday."
1,"The New York Yankees, Arizona and Los Angeles spent yesterday trying to put the finishing touches on the megadeal that would move All-Stars Randy Johnson, Shawn Green and Javier Vazquez."
2," LONDON (Reuters) - EMI Group PLC, the world's third-largest  music company, confirmed on Friday it faced a New York probe  into how music companies influence what songs are played on the  radio."
1,"Maria Sharapova is in uncharted waters here, having reached the third round at Flushing Meadows for the first time. But I #39;m confident she can sink Mary Pierce this weekend and sail on into the second week of play."
3,(11/10/04)The new list of the worlds Top500 supercomputers was officially announced last night in a overflowing ballroom at the SC2004 Conference in Pittsburgh.
0,"Reuters - Russia will lease to India a nuclear-powered submarine capable of firing nuclear and conventional missiles, Russian news agencies reported on Thursday."
0,"THE number of Israelis killed in a series of deadly bombings in Egypt #39;s Sinai peninsula rose to 11 today after four more victims were identified, including two children, Israel police said."
0,"Prime Minister Adrian Nastase said Monday he had conceded defeat in Romania's presidential runoff in a telephone call to opponent Traian Basescu, whom he called ""the future president of Romania."""
